# Sesion:3 Fecha:2026-04-03 22:56:14 Shots:1 Duracion:16,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
2.2400,46896,0.214600,-0.207520,0.674622,-0.675110,85.4755,0
2.2500,46906,0.214783,-0.207153,0.674622,-0.675110,85.4385,0
2.2600,46916,0.214905,-0.206909,0.674622,-0.675171,85.3960,0
2.2700,46926,0.214966,-0.206665,0.674622,-0.675232,85.3425,0
2.2800,46936,0.215027,-0.206421,0.674683,-0.675232,85.2811,0
2.2900,46946,0.215027,-0.206116,0.674988,-0.674988,85.2137,0
2.3000,46956,0.214966,-0.205933,0.675171,-0.674927,85.1520,0
2.3100,46966,0.214905,-0.205750,0.675293,-0.674866,85.1029,0
2.3200,46976,0.214783,-0.205566,0.675354,-0.674866,85.0610,0
2.3300,46986,0.214661,-0.205322,0.675476,-0.674927,85.0236,0
2.3400,46996,0.214417,-0.205139,0.675537,-0.674927,84.9856,0
2.3500,47006,0.214172,-0.204956,0.675598,-0.674988,84.9508,0
2.3600,47016,0.213928,-0.204834,0.675659,-0.675110,84.9219,0
2.3700,47026,0.213684,-0.204773,0.675598,-0.675293,84.9068,0
2.3800,47036,0.213379,-0.204712,0.675415,-0.675598,84.9087,0
2.3900,47046,0.213074,-0.204712,0.675171,-0.675903,84.9171,0
2.4000,47056,0.212646,-0.204773,0.674927,-0.676270,84.9263,0
2.4100,47066,0.212158,-0.204834,0.674805,-0.676514,84.9246,0
2.4200,47076,0.211548,-0.204895,0.674805,-0.676697,84.9107,0
2.4300,47086,0.210937,-0.204895,0.674805,-0.676880,84.8904,0
2.4400,47096,0.210266,-0.204956,0.674805,-0.677124,84.8739,0
2.4500,47106,0.209656,-0.204956,0.674744,-0.677307,84.8608,0
2.4600,47116,0.209045,-0.205017,0.674744,-0.677490,84.8494,0
2.4700,47126,0.208435,-0.205017,0.674744,-0.677673,84.8388,0
2.4800,47136,0.207886,-0.205139,0.674683,-0.677856,84.8265,0
2.4900,47146,0.207458,-0.205200,0.674683,-0.677979,84.8107,0
2.5000,47156,0.207153,-0.205261,0.674622,-0.678162,84.8047,0
2.5100,47166,0.206909,-0.205261,0.674500,-0.678345,84.8015,0
2.5200,47176,0.206726,-0.205322,0.674377,-0.678467,84.7948,0
2.5300,47186,0.206665,-0.205444,0.674255,-0.678589,84.7741,0
2.5400,47196,0.206482,-0.205627,0.674438,-0.678406,84.7290,0
2.5500,47206,0.206238,-0.205811,0.674744,-0.678101,84.6600,0
2.5600,47216,0.206116,-0.206055,0.675171,-0.677612,84.5773,0
2.5700,47226,0.206055,-0.206604,0.676331,-0.676331,84.5040,0
2.5800,47236,0.206421,-0.206604,0.676636,-0.675903,84.4516,0
2.5900,47246,0.206909,-0.206604,0.676880,-0.675476,84.4221,0
2.6000,47256,0.207397,-0.206604,0.677124,-0.675110,84.4009,0
2.6100,47266,0.207886,-0.206665,0.677368,-0.674744,84.3777,0
2.6200,47276,0.208313,-0.206787,0.677734,-0.674194,84.3365,0
2.6300,47286,0.208679,-0.206970,0.678223,-0.673523,84.2754,0
2.6400,47296,0.208984,-0.207153,0.678833,-0.672791,84.1946,0
2.6500,47306,0.209229,-0.207397,0.679504,-0.671936,84.1094,0
2.6600,47316,0.209473,-0.207520,0.680176,-0.671143,84.0374,0
2.6700,47326,0.209717,-0.207642,0.680725,-0.670471,83.9884,0
2.6800,47336,0.209961,-0.207703,0.681152,-0.669922,83.9613,0
2.6900,47346,0.210205,-0.207642,0.681519,-0.669556,83.9575,0
2.7000,47356,0.210388,-0.207458,0.681824,-0.669189,83.9627,0
2.7100,47366,0.210510,-0.207153,0.682190,-0.668884,83.9668,0
2.7200,47376,0.210632,-0.206787,0.682556,-0.668579,83.9622,0
2.7300,47386,0.210693,-0.206299,0.682922,-0.668335,83.9595,0
2.7400,47396,0.210754,-0.205750,0.683228,-0.668152,83.9566,0
2.7500,47406,0.210876,-0.205139,0.683533,-0.668030,83.9573,0
2.7600,47416,0.211060,-0.204529,0.683777,-0.667908,83.9567,0
2.7700,47426,0.211243,-0.203918,0.684082,-0.667725,83.9493,0
2.7800,47436,0.211487,-0.203308,0.684387,-0.667480,83.9238,0
2.7900,47446,0.211670,-0.202698,0.684814,-0.667236,83.8903,0
2.8000,47456,0.211853,-0.202026,0.685242,-0.666931,83.8607,0
2.8100,47466,0.212036,-0.201294,0.685608,-0.666687,83.8390,0
2.8200,47476,0.212280,-0.200562,0.685913,-0.666504,83.8193,0
2.8300,47486,0.212463,-0.199707,0.686218,-0.666443,83.8051,0
2.8400,47496,0.212708,-0.197815,0.686890,-0.666199,83.7913,0
2.8500,47506,0.212708,-0.196716,0.687317,-0.666077,83.7798,0
2.8600,47516,0.212646,-0.195557,0.687683,-0.666077,83.7722,0
2.8700,47526,0.212524,-0.194336,0.688049,-0.666077,83.7695,0
2.8800,47536,0.212341,-0.192993,0.688354,-0.666199,83.7667,0
2.8900,47546,0.212158,-0.191589,0.688660,-0.666382,83.7644,0
2.9000,47556,0.211853,-0.190125,0.688904,-0.666626,83.7566,0
2.9100,47566,0.211670,-0.188660,0.689209,-0.666809,83.7437,0
2.9200,47576,0.211487,-0.187195,0.689453,-0.666992,83.7192,0
2.9300,47586,0.211304,-0.185791,0.689758,-0.667114,83.6861,0
2.9400,47596,0.211365,-0.184326,0.690002,-0.667297,83.6581,0
2.9500,47606,0.211487,-0.182861,0.690125,-0.667542,83.6443,0
2.9600,47616,0.211670,-0.181396,0.690063,-0.667847,83.6439,0
2.9700,47626,0.211914,-0.179993,0.690063,-0.668213,83.6384,0
2.9800,47636,0.212097,-0.178711,0.690125,-0.668457,83.6104,0
2.9900,47646,0.212158,-0.177490,0.690308,-0.668518,83.5551,0
3.0000,47656,0.212097,-0.176392,0.690552,-0.668640,83.4748,0
3.0100,47666,0.211975,-0.175415,0.690796,-0.668640,83.3894,0
3.0200,47676,0.211853,-0.174438,0.690979,-0.668762,83.3147,0
3.0300,47686,0.211731,-0.173584,0.690979,-0.669006,83.2572,0
3.0400,47696,0.211609,-0.172729,0.690979,-0.669312,83.2127,0
3.0500,47706,0.211426,-0.171997,0.690918,-0.669556,83.1453,0
3.0600,47716,0.211365,-0.171082,0.691223,-0.669556,83.0609,0
3.0700,47726,0.211365,-0.170288,0.691589,-0.669373,82.9652,0
3.0800,47736,0.211243,-0.169617,0.691956,-0.669189,82.8527,0
3.0900,47746,0.210999,-0.169128,0.692383,-0.668945,82.7221,0
3.1000,47756,0.210571,-0.168823,0.692810,-0.668701,82.5779,0
3.1100,47766,0.210083,-0.168640,0.693359,-0.668335,82.4301,0
3.1200,47776,0.209229,-0.168518,0.694397,-0.667542,82.2933,0
3.1300,47786,0.208984,-0.168457,0.694824,-0.667236,82.1776,0
3.1400,47796,0.208801,-0.168457,0.695068,-0.666992,82.0903,0
3.1500,47806,0.208679,-0.168457,0.695190,-0.666931,82.0370,0
3.1600,47816,0.208740,-0.168457,0.695129,-0.666992,82.0036,0
3.1700,47826,0.208679,-0.168457,0.695068,-0.667053,81.9756,0
3.1800,47836,0.208618,-0.168396,0.695129,-0.666992,81.9322,0
3.1900,47846,0.208496,-0.168335,0.695374,-0.666870,81.8684,0
