# Sesion:6 Fecha:2026-03-26 20:12:29 Shots:1 Duracion:11,36s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm,pitchLat
1.3110,0.112061,-0.028503,0.741394,-0.661011,-11.7939
1.3190,0.116455,-0.020508,0.742432,-0.659424,-11.7995
1.3280,0.120483,-0.012939,0.743530,-0.657654,-11.8302
1.3360,0.123779,-0.006042,0.744690,-0.655823,-11.8752
1.3400,0.125610,-0.000366,0.746399,-0.653564,-11.9825
1.3520,0.125610,-0.000366,0.746399,-0.653564,-12.0845
1.3600,0.126099,0.003601,0.748230,-0.651367,-12.2131
1.3650,0.125916,0.005676,0.749268,-0.650146,-12.2881
1.3720,0.125488,0.006531,0.749207,-0.650330,-12.2662
1.3800,0.125488,0.006531,0.749207,-0.650330,-12.2454
1.3890,0.124695,0.006531,0.748413,-0.651367,-12.1607
1.3970,0.123169,0.005737,0.747681,-0.652527,-12.0782
1.4010,0.120972,0.004456,0.746948,-0.653809,-11.9909
1.4090,0.120972,0.004456,0.746948,-0.653809,-11.9080
1.4180,0.118591,0.002747,0.746094,-0.655212,-11.8144
1.4260,0.116028,0.000793,0.745483,-0.656372,-11.7408
1.4300,0.113159,-0.001404,0.745422,-0.656921,-11.7184
1.4420,0.113159,-0.001404,0.745422,-0.656921,-11.6971
1.4500,0.109924,-0.003967,0.745911,-0.656921,-11.7223
1.4540,0.106140,-0.007324,0.746460,-0.656860,-11.7644
1.4620,0.102112,-0.011597,0.746826,-0.657043,-11.7929
1.4700,0.102112,-0.011597,0.746826,-0.657043,-11.8200
1.4790,0.097778,-0.016907,0.747314,-0.657043,-11.8702
1.4870,0.092957,-0.023499,0.748047,-0.656677,-11.9596
1.4910,0.087646,-0.030884,0.749023,-0.656006,-12.0787
1.5000,0.087646,-0.030884,0.749023,-0.656006,-12.1919
1.5080,0.082153,-0.038147,0.750000,-0.655212,-12.3126
1.5160,0.076477,-0.044800,0.750732,-0.654602,-12.4226
1.5240,0.070862,-0.050537,0.751221,-0.654297,-12.5032
1.5320,0.070862,-0.050537,0.751221,-0.654297,-12.5799
1.5400,0.065735,-0.055298,0.751343,-0.654297,-12.6271
1.5480,0.060791,-0.059692,0.751465,-0.654236,-12.6806
1.5520,0.055847,-0.064209,0.751587,-0.654114,-12.7338
1.5610,0.055847,-0.064209,0.751587,-0.654114,-12.7845
1.5690,0.051025,-0.068970,0.751648,-0.653992,-12.8344
1.5770,0.046387,-0.073914,0.751465,-0.653992,-12.8705
1.5810,0.042114,-0.078979,0.750916,-0.654297,-12.8803
1.5900,0.042114,-0.078979,0.750916,-0.654297,-12.8897
1.5980,0.038269,-0.084167,0.750427,-0.654480,-12.9030
1.6060,0.035034,-0.089050,0.750000,-0.654419,-12.9255
1.6100,0.035034,-0.089050,0.750000,-0.654419,-12.9222
1.6220,0.032593,-0.093262,0.749390,-0.654724,-12.9185
1.6300,0.030396,-0.096802,0.748840,-0.654968,-12.9128
1.6350,0.028442,-0.099670,0.748352,-0.655151,-12.9123
