# Sesion:1 Fecha:2026-03-08 15:33:42 Shots:0 Duracion:17,91s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
1,7530,26.6875,-49.0000,-89.5247,-297.2219,0.0000,310.4118,-0.0300,0.0000,-0.1700,0.1726,7.3600,-0.6700,-6.5600,25,-17.5000,-26.7500,0.3750,0,0,0,0
1,7730,26.7500,-48.8750,-57.2958,-279.3169,-21.4859,285.9413,-0.0500,0.0000,-0.0900,0.1030,7.3300,-0.6800,-6.5000,25,-17.5000,-26.7500,0.3750,0,0,0,0
1,7940,26.6875,-48.8125,42.9718,-347.3557,-42.9718,352.6317,-0.0700,0.0000,-0.0600,0.0922,7.3000,-0.6700,-6.4900,25,-17.0625,-26.5000,0.0625,0,0,0,0
1,8140,26.6250,-48.6875,85.9437,-365.2606,-7.1620,375.3038,-0.0500,0.0300,-0.1700,0.1797,7.3000,-0.6400,-6.6100,25,-17.0625,-26.5000,0.0625,0,0,0,0
1,8340,26.5625,-48.5625,46.5528,-325.8698,32.2289,330.7521,-0.0600,0.0400,0.0000,0.0721,7.2700,-0.6400,-6.4600,25,-17.5000,-26.1875,0.1875,0,0,0,0
1,8550,26.5000,-48.4375,89.5247,-444.0423,7.1620,453.0337,-0.0800,0.0000,-0.0600,0.1000,7.2400,-0.6800,-6.5400,25,-17.5000,-26.1875,0.1875,0,0,0,0
1,8760,26.4375,-48.2500,128.9155,-494.1761,-53.7148,513.5314,-0.0400,0.0300,-0.0900,0.1030,7.2600,-0.6600,-6.5800,25,-17.5000,-26.1875,0.1875,0,0,0,0
1,8920,26.3125,-48.1250,121.7535,-512.0811,-46.5528,528.4109,-0.0200,0.0200,-0.0400,0.0490,7.2600,-0.6600,-6.5600,25,-16.6875,-26.1875,1.0000,0,0,0,0
1,9160,26.1875,-47.9375,136.0775,-569.3768,-42.9718,586.9869,-0.0200,0.0500,0.1000,0.1136,7.2400,-0.6400,-6.4400,25,-16.6875,-26.1875,1.0000,0,0,0,0
1,9330,26.0625,-47.7500,146.8204,-626.6726,-28.6479,644.2791,0.0000,0.0700,0.1400,0.1565,7.2400,-0.6200,-6.4200,25,-16.6875,-26.1875,-0.1875,0,0,0,0
