# Sesion:2 Fecha:2026-03-08 15:36:43 Shots:0 Duracion:19,80s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
1.0610,55.2500,-56.7500,304.3838,479.8522,-111.0106,578.9913,0.2000,0.7600,-0.6400,1.0135,8.4200,0.0500,-5.9500,25,-18.6875,14.0000,37.6875,3,3,1,2
1.0860,55.4375,-57.0625,-623.0916,1493.2712,236.3451,1635.2250,-0.3200,0.1300,-0.7200,0.7986,7.9300,-0.5700,-5.9700,25,-18.6875,14.0000,37.6875,3,3,1,2
1.1030,55.8125,-57.6250,-526.4050,1722.4543,111.0106,1804.5150,-0.1100,0.3900,-0.3400,0.5290,8.1900,-0.2900,-5.5000,25,-18.2500,13.0000,36.0000,3,3,1,2
1.1270,56.0000,-58.3750,-204.1162,1407.3276,-21.4859,1422.2152,-0.2200,0.3600,-0.1700,0.4549,8.1200,-0.3100,-5.2600,25,-18.2500,13.0000,36.0000,3,3,1,2
1.1440,56.1875,-58.8125,-17.9049,1188.8874,-42.9718,1189.7985,-0.1600,0.4600,-0.5100,0.7052,8.2200,-0.2100,-5.5400,25,-18.2500,13.0000,36.0000,3,3,1,2
1.1640,56.3125,-59.1875,-143.2395,1367.9367,39.3908,1375.9797,-0.1800,0.3700,-0.4500,0.6098,8.2400,-0.2900,-5.4300,25,-19.7500,13.6875,36.3750,3,3,1,2
1.1880,56.7500,-59.6250,-490.5951,1657.9965,171.8873,1737.5792,-0.2100,0.3500,-0.1900,0.4502,8.2500,-0.2900,-5.1000,25,-19.7500,13.6875,36.3750,3,3,1,2
1.2050,57.1250,-60.1250,-752.0072,1525.5001,193.3733,1711.7413,-0.1600,0.3300,0.1000,0.3801,8.3300,-0.3000,-4.7200,25,-19.7500,12.5625,34.7500,3,3,1,2
1.2290,57.5625,-60.5000,-644.5775,977.6093,143.2395,1179.7108,-0.1100,0.3800,-0.1500,0.4231,8.4100,-0.2400,-4.9300,25,-19.7500,12.5625,34.7500,3,3,1,2
1.2460,57.6875,-60.6875,-196.9542,494.1761,114.5916,544.1803,-0.1100,0.3800,-0.2100,0.4479,8.4400,-0.2300,-4.9600,25,-19.7500,12.5625,34.7500,3,3,1,2
1.2660,57.7500,-60.7500,121.7535,222.0211,60.8768,260.4291,-0.0900,0.3300,-0.4500,0.5652,8.4600,-0.2800,-5.1900,25,-19.8750,12.5000,34.3750,3,3,1,2
1.2870,57.7500,-60.7500,143.2395,297.2219,50.1338,333.7241,-0.2500,0.1900,-0.3400,0.4628,8.3000,-0.4100,-5.0800,25,-19.8750,12.5000,34.3750,3,3,1,2
1.3070,57.6250,-60.8125,114.5916,318.7078,139.6585,366.3473,-0.1900,0.2100,-0.1300,0.3116,8.3700,-0.4000,-4.8600,25,-20.6875,13.5625,35.0625,3,3,1,2
1.3270,57.5000,-60.8750,25.0669,186.2113,189.7923,267.0657,-0.1400,0.2900,0.2500,0.4077,8.4200,-0.3300,-4.4600,25,-20.6875,13.5625,35.0625,3,3,1,2
1.3480,57.5000,-60.8750,-164.7254,-10.7430,229.1831,282.4443,-0.0500,0.3200,0.1000,0.3390,8.5100,-0.3000,-4.6100,25,-20.6875,13.5625,35.0625,3,3,1,2
1.3680,57.5000,-60.8750,-376.0036,-78.7817,322.2888,501.4532,-0.0200,0.3800,-0.2500,0.4553,8.5400,-0.2500,-4.9800,25,-20.2500,13.5625,34.6875,3,3,1,2
1.3890,57.6875,-60.8125,-630.2536,60.8768,426.1374,763.2291,-0.1600,0.2400,-0.3900,0.4851,8.4000,-0.3900,-5.1200,25,-20.2500,13.5625,34.6875,3,3,1,2
1.4100,57.7500,-60.8750,-615.9296,211.2782,307.9648,720.3125,-0.3200,0.1600,-0.3900,0.5292,8.2400,-0.4800,-5.1100,25,-21.0000,13.5625,34.2500,3,3,1,2
1.4300,57.9375,-60.9375,-365.2606,168.3063,290.0599,495.8599,-0.2100,0.2700,-0.1300,0.3659,8.3500,-0.3700,-4.8500,25,-21.0000,13.5625,34.2500,3,3,1,2
1.4510,57.9375,-60.8750,-150.4014,-103.8486,236.3451,298.7710,-0.1500,0.2300,-0.2700,0.3851,8.4100,-0.4100,-4.9900,25,-20.6875,13.1875,34.2500,3,3,1,2
1.4710,57.9375,-60.8125,-257.8310,-268.5740,168.3063,408.5778,-0.1100,0.2700,-0.3400,0.4479,8.4400,-0.3700,-5.0800,25,-20.6875,13.1875,34.2500,3,3,1,2
1.4910,58.1250,-60.6250,-372.4226,-257.8310,243.5071,514.2675,-0.0700,0.2700,-0.1500,0.3167,8.4100,-0.4200,-5.0900,25,-20.6875,13.1875,34.2500,3,3,1,2
1.5120,58.2500,-60.5000,-508.5001,-229.1831,286.4789,627.0306,-0.1800,0.1400,-0.4100,0.4691,8.3500,-0.4900,-5.1900,25,-20.6875,13.1875,34.6875,3,3,1,2
1.5320,58.4375,-60.3750,-390.3275,-136.0775,268.5740,492.9550,-0.2100,0.0800,-0.3600,0.4244,8.3300,-0.5600,-5.2800,25,-20.6875,13.1875,34.6875,3,3,1,2
1.5530,58.5000,-60.2500,-204.1162,-189.7923,207.6972,347.5956,-0.2000,0.0600,-0.4200,0.4690,8.3000,-0.5700,-5.2400,25,-21.3750,12.8750,34.6875,3,3,1,2
1.5730,58.4375,-60.1250,-186.2113,-143.2395,207.6972,313.5767,-0.2400,0.1700,-0.0400,0.2968,8.2600,-0.4700,-4.8700,25,-21.3750,12.8750,34.6875,3,3,1,2
1.5940,58.5000,-60.0000,-229.1831,-254.2500,232.7641,413.9410,-0.4900,0.0100,-0.0700,0.4951,7.9900,-0.6300,-4.9400,25,-21.3750,12.8750,34.6875,3,3,1,2
1.6140,58.2500,-59.8750,-304.3838,-454.7853,114.5916,559.1157,-0.4900,0.0200,-0.2200,0.5375,8.0700,-0.5400,-5.3300,25,-21.0000,13.5625,33.8750,3,3,1,2
1.6350,58.4375,-59.6875,-429.7184,-404.6515,-107.4296,599.9515,-0.2300,0.2500,-0.5800,0.6722,8.2200,-0.3700,-5.5000,25,-21.0000,13.5625,33.8750,3,3,1,2
1.6550,58.7500,-59.5625,-469.1092,-307.9648,-103.8486,570.6928,-0.0600,0.3200,-0.4700,0.5718,8.3900,-0.2800,-5.4000,25,-20.2500,13.5625,35.0625,3,3,1,2
1.6760,58.7500,-59.5000,-340.1937,-315.1268,42.9718,465.7073,0.0000,0.3200,-0.4600,0.5604,8.4300,-0.2700,-5.4100,25,-20.2500,13.5625,35.0625,3,3,1,2
1.6960,59.0000,-59.3125,-218.4402,-383.1655,-53.7148,444.3166,-0.0800,0.2700,-0.3300,0.4338,8.3400,-0.3100,-5.3000,25,-20.2500,13.5625,35.0625,3,3,1,2
1.7160,58.8125,-59.1875,-114.5916,-469.1092,-100.2676,493.2020,0.0000,0.3900,-0.5000,0.6341,8.4200,-0.1700,-5.5100,25,-20.6875,13.1875,34.2500,3,3,1,2
1.7370,59.1250,-58.9375,-132.4965,-433.2994,-28.6479,454.0092,0.0700,0.3800,-0.0800,0.3946,8.4700,-0.1600,-5.1100,25,-20.6875,13.1875,34.2500,3,3,1,2
1.7540,58.9375,-58.7500,-93.1056,-526.4050,64.4578,538.4475,-0.0700,0.1700,-0.0600,0.1934,8.3000,-0.3700,-5.1200,25,-20.2500,12.8750,34.6875,3,3,1,2
1.7770,59.0000,-58.5625,-247.0881,-501.3381,100.2676,567.8433,-0.1200,0.1600,-0.0600,0.2088,8.2400,-0.3800,-5.1500,25,-20.2500,12.8750,34.6875,3,3,1,2
1.7950,59.1250,-58.3750,-243.5071,-526.4050,50.1338,582.1609,-0.4800,-0.1600,0.0500,0.5084,7.8700,-0.7000,-5.0500,25,-20.2500,12.8750,34.6875,3,3,1,2
1.8150,59.0000,-58.2500,-204.1162,-519.2430,17.9049,558.2091,-0.1800,0.1400,0.0100,0.2283,8.1400,-0.3900,-5.1100,25,-19.5000,13.1875,35.5000,3,3,1,2
1.8390,59.1250,-58.0625,-297.2219,-601.6057,-7.1620,671.0601,-0.1000,0.2800,-0.3500,0.4592,8.2100,-0.2400,-5.5200,25,-19.5000,13.1875,35.5000,3,3,1,2
1.8560,59.1250,-57.8125,-311.5458,-562.2149,3.5810,642.7745,-0.1200,0.3600,-0.3600,0.5231,8.1800,-0.1500,-5.5600,25,-21.0000,12.5000,35.0625,3,3,1,2
1.8770,59.3125,-57.5625,-300.8029,-651.7395,-42.9718,719.0921,-0.1400,0.3100,-0.2700,0.4343,8.1300,-0.1900,-5.5000,25,-21.0000,12.5000,35.0625,3,3,1,2
1.8970,59.3750,-57.2500,-10.7430,-730.5212,50.1338,732.3182,-0.2900,0.1000,-0.5700,0.6473,7.9500,-0.3800,-5.8500,25,-21.0000,12.5000,35.0625,3,3,1,2
1.9170,59.0625,-57.0625,0.0000,-612.3486,-25.0669,612.8615,-0.3000,0.0200,-0.4100,0.5084,7.9100,-0.4700,-5.7400,25,-20.2500,13.1875,34.6875,3,3,1,2
1.9380,59.1875,-56.6875,-136.0775,-583.7008,-164.7254,621.5771,-0.1200,0.1300,-0.1000,0.2032,8.0700,-0.3500,-5.4600,25,-20.2500,13.1875,34.6875,3,3,1,2
