# Sesion:19 Fecha:2026-04-06 20:25:09 Shots:1 Duracion:9,59s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
1.6500,1134047,0.744507,-0.660156,0.075195,-0.065308,83.6084,0,0
1.6600,1134057,0.744385,-0.660217,0.075378,-0.065247,83.5871,0,0
1.6700,1134067,0.744324,-0.660339,0.075562,-0.065247,83.5650,0,0
1.6800,1134077,0.744263,-0.660400,0.075684,-0.065247,83.5522,0,0
1.6900,1134087,0.744263,-0.660400,0.075867,-0.065186,83.5490,0,0
1.7000,1134097,0.744263,-0.660339,0.075989,-0.065247,83.5531,0,0
1.7100,1134107,0.744324,-0.660278,0.076111,-0.065247,83.5588,0,0
1.7200,1134117,0.744324,-0.660217,0.076294,-0.065186,83.5533,0,0
1.7300,1134127,0.744324,-0.660217,0.076416,-0.065186,83.5445,0,0
1.7400,1134137,0.744324,-0.660217,0.076599,-0.065125,83.5398,0,0
1.7500,1134147,0.744385,-0.660156,0.076843,-0.065063,83.5422,0,0
1.7600,1134157,0.744507,-0.659973,0.076965,-0.065002,83.5570,0,0
1.7700,1134167,0.744690,-0.659790,0.077087,-0.064880,83.5788,0,0
1.7800,1134177,0.744934,-0.659485,0.077209,-0.064758,83.6029,0,0
1.7900,1134187,0.745178,-0.659241,0.077332,-0.064636,83.6287,0,0
1.8000,1134197,0.745361,-0.658997,0.077454,-0.064453,83.6431,0,0
1.8100,1134207,0.745544,-0.658752,0.077576,-0.064331,83.6519,0,0
1.8200,1134217,0.745728,-0.658569,0.077698,-0.064148,83.6524,0,0
1.8300,1134227,0.745850,-0.658447,0.077881,-0.064026,83.6476,0,0
1.8400,1134237,0.745911,-0.658386,0.078003,-0.063843,83.6292,0,0
1.8500,1134247,0.745911,-0.658325,0.078125,-0.063660,83.6010,0,0
1.8600,1134257,0.745850,-0.658447,0.078308,-0.063477,83.5552,0,0
1.8700,1134267,0.745728,-0.658569,0.078369,-0.063354,83.5082,0,0
1.8800,1134277,0.745605,-0.658752,0.078491,-0.063232,83.4610,0,0
1.8900,1134287,0.745422,-0.658936,0.078674,-0.063110,83.4274,0,0
1.9000,1134297,0.745361,-0.658997,0.078796,-0.063049,83.4080,0,0
1.9100,1134307,0.745361,-0.658997,0.078979,-0.062988,83.3971,0,0
1.9200,1134317,0.745483,-0.658813,0.079224,-0.062744,83.3932,0,0
1.9300,1134327,0.745605,-0.658691,0.079407,-0.062622,83.3878,0,0
1.9400,1134337,0.745667,-0.658569,0.079529,-0.062561,83.3748,0,0
1.9500,1134347,0.745667,-0.658569,0.079712,-0.062439,83.3535,0,0
1.9600,1134357,0.745605,-0.658569,0.079895,-0.062439,83.3268,0,0
1.9700,1134367,0.745544,-0.658630,0.080078,-0.062378,83.2941,0,0
1.9800,1134377,0.745483,-0.658691,0.080261,-0.062317,83.2631,0,0
1.9900,1134387,0.745422,-0.658752,0.080505,-0.062317,83.2336,0,0
2.0000,1134397,0.745361,-0.658813,0.080688,-0.062256,83.2018,0,0
2.0100,1134407,0.745361,-0.658752,0.080872,-0.062195,83.1835,0,0
2.0200,1134417,0.745483,-0.658691,0.081055,-0.062134,83.1757,0,0
2.0300,1134427,0.745544,-0.658508,0.081238,-0.062073,83.1734,0,0
2.0400,1134437,0.745728,-0.658386,0.081299,-0.062012,83.1736,0,0
2.0500,1134447,0.745850,-0.658264,0.081421,-0.061951,83.1684,0,0
2.0600,1134457,0.745850,-0.658203,0.081543,-0.061829,83.1481,0,0
2.0700,1134467,0.745789,-0.658325,0.081604,-0.061707,83.1085,0,0
2.0800,1134477,0.745605,-0.658447,0.081726,-0.061584,83.0607,0,0
2.0900,1134487,0.745483,-0.658569,0.081848,-0.061401,83.0158,0,0
2.1000,1134497,0.745422,-0.658630,0.082031,-0.061279,82.9843,0,0
2.1100,1134507,0.745483,-0.658630,0.082153,-0.061096,82.9628,0,0
2.1200,1134517,0.745483,-0.658630,0.082214,-0.060913,82.9410,0,0
2.1300,1134527,0.745483,-0.658630,0.082336,-0.060730,82.9150,0,0
2.1400,1134537,0.745422,-0.658691,0.082397,-0.060486,82.8843,0,0
2.1500,1134547,0.745361,-0.658752,0.082458,-0.060242,82.8520,0,0
2.1600,1134557,0.745300,-0.658875,0.082520,-0.059998,82.8267,0,0
2.1700,1134567,0.745300,-0.658875,0.082581,-0.059814,82.8032,0,0
2.1800,1134577,0.745239,-0.658936,0.082642,-0.059570,82.7760,0,0
2.1900,1134587,0.745239,-0.658997,0.082764,-0.059448,82.7502,0,0
2.2000,1134597,0.745178,-0.659058,0.082886,-0.059326,82.7292,0,0
2.2100,1134607,0.745178,-0.659058,0.083069,-0.059082,82.7169,0,0
2.2200,1134617,0.745178,-0.658997,0.083191,-0.059021,82.7051,0,0
2.2300,1134627,0.745239,-0.658936,0.083191,-0.058960,82.6999,0,0
2.2400,1134637,0.745300,-0.658875,0.083252,-0.058899,82.6914,0,0
2.2500,1134647,0.745239,-0.658936,0.083313,-0.058960,82.6660,0,0
2.2600,1134657,0.745178,-0.659058,0.083374,-0.058960,82.6378,0,0
2.2700,1134667,0.745056,-0.659119,0.083435,-0.058960,82.6104,0,0
2.2800,1134677,0.744995,-0.659180,0.083557,-0.058960,82.5856,0,0
2.2900,1134687,0.744873,-0.659302,0.083618,-0.058899,82.5614,0,0
2.3000,1134697,0.744873,-0.659302,0.083679,-0.058899,82.5424,0,0
2.3100,1134707,0.744873,-0.659302,0.083679,-0.058899,82.5310,0,0
2.3200,1134717,0.744873,-0.659302,0.083679,-0.058899,82.5242,0,0
2.3300,1134727,0.744873,-0.659302,0.083679,-0.058899,82.5172,0,0
2.3400,1134737,0.744873,-0.659302,0.083679,-0.058899,82.5028,0,0
2.3500,1134747,0.744751,-0.659424,0.083679,-0.058838,82.4778,0,0
2.3600,1134757,0.744629,-0.659546,0.083740,-0.058899,82.4470,0,0
2.3700,1134767,0.744507,-0.659729,0.083740,-0.058899,82.4195,0,0
2.3800,1134777,0.744507,-0.659729,0.083740,-0.058899,82.4100,0,0
2.3900,1134787,0.744568,-0.659668,0.083740,-0.058899,82.4165,0,0
2.4000,1134797,0.744629,-0.659607,0.083679,-0.058960,82.4287,0,0
2.4100,1134807,0.744690,-0.659546,0.083618,-0.059021,82.4361,0,0
2.4200,1134817,0.744690,-0.659546,0.083557,-0.059143,82.4176,0,0
2.4300,1134827,0.744568,-0.659668,0.083557,-0.059265,82.3882,0,0
2.4400,1134837,0.744385,-0.659851,0.083618,-0.059387,82.3555,0,0
2.4500,1134847,0.744202,-0.660034,0.083679,-0.059509,82.3297,0,0
2.4600,1134857,0.744019,-0.660217,0.083801,-0.059509,82.3165,0,0
2.4700,1134867,0.743896,-0.660339,0.083862,-0.059570,82.3147,0,0
2.4800,1134877,0.743896,-0.660339,0.083862,-0.059570,82.3171,0,0
2.4900,1134887,0.743896,-0.660339,0.083984,-0.059692,82.3212,0,0
2.5000,1134897,0.743896,-0.660278,0.084045,-0.059753,82.3263,0,0
2.5100,1134907,0.743896,-0.660278,0.084106,-0.059814,82.3293,0,0
2.5200,1134917,0.743835,-0.660278,0.084167,-0.059875,82.3280,0,0
2.5300,1134927,0.743835,-0.660278,0.084290,-0.059937,82.3262,0,0
2.5400,1134937,0.743835,-0.660278,0.084351,-0.059998,82.3245,0,0
2.5500,1134947,0.743774,-0.660339,0.084351,-0.060120,82.3199,0,0
2.5600,1134957,0.743713,-0.660400,0.084290,-0.060120,82.3132,0,0
2.5700,1134967,0.743652,-0.660461,0.084290,-0.060181,82.3038,0,0
2.5800,1134977,0.743591,-0.660583,0.084229,-0.060181,82.2980,0,0
2.5900,1134987,0.743530,-0.660645,0.084229,-0.060242,82.2990,0,0
2.6000,1134997,0.743530,-0.660645,0.084229,-0.060242,82.3048,0,0
2.6100,1135007,0.743530,-0.660645,0.084229,-0.060242,82.3078,0,0
2.6200,1135017,0.743469,-0.660645,0.084229,-0.060242,82.3072,0,0
2.6300,1135027,0.743408,-0.660767,0.084229,-0.060242,82.3007,0,0
2.6400,1135037,0.743347,-0.660828,0.084290,-0.060181,82.2933,0,0
2.6500,1135047,0.743347,-0.660828,0.084351,-0.060120,82.2938,0,0
2.6600,1135057,0.743408,-0.660767,0.084351,-0.059998,82.3073,0,0
