# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
1.3700,1234226,0.448547,-0.377502,-0.571045,0.574646,90.5134,0
1.3800,1234236,0.448303,-0.377747,-0.571045,0.574646,90.4448,0
1.3900,1234246,0.448120,-0.377930,-0.571045,0.574646,90.3843,0
1.4000,1234256,0.447998,-0.378174,-0.571045,0.574646,90.3172,0
1.4100,1234266,0.447876,-0.378418,-0.571045,0.574524,90.2487,0
1.4200,1234276,0.447754,-0.378662,-0.571045,0.574463,90.1823,0
1.4300,1234286,0.447693,-0.378784,-0.571045,0.574402,90.1276,0
1.4400,1234296,0.447632,-0.378906,-0.571045,0.574463,90.0803,0
1.4500,1234306,0.447571,-0.379028,-0.570984,0.574463,90.0383,0
1.4600,1234316,0.447510,-0.379150,-0.570984,0.574402,89.9876,0
1.4700,1234326,0.447388,-0.379395,-0.570984,0.574280,89.9133,0
1.4800,1234336,0.447205,-0.379700,-0.571045,0.574158,89.8469,0
1.4900,1234346,0.447021,-0.380005,-0.571106,0.574097,89.7920,0
1.5000,1234356,0.446838,-0.380188,-0.571106,0.574097,89.7487,0
1.5100,1234366,0.446594,-0.380310,-0.571106,0.574219,89.7015,0
1.5200,1234376,0.446350,-0.380371,-0.571167,0.574341,89.6442,0
1.5300,1234386,0.446045,-0.380432,-0.571289,0.574402,89.5778,0
1.5400,1234396,0.445251,-0.380676,-0.571777,0.574341,89.5051,0
1.5500,1234406,0.444824,-0.380798,-0.572021,0.574341,89.4409,0
1.5600,1234416,0.444458,-0.380859,-0.572266,0.574402,89.3917,0
1.5700,1234426,0.444031,-0.380859,-0.572449,0.574524,89.3454,0
1.5800,1234436,0.443665,-0.380920,-0.572693,0.574524,89.2984,0
1.5900,1234446,0.443237,-0.380981,-0.572937,0.574585,89.2526,0
1.6000,1234456,0.442810,-0.381104,-0.573181,0.574585,89.2018,0
1.6100,1234466,0.442383,-0.381348,-0.573486,0.574463,89.1369,0
1.6200,1234476,0.441895,-0.381775,-0.573853,0.574219,89.0480,0
1.6300,1234486,0.441345,-0.382324,-0.574280,0.573792,88.9378,0
1.6400,1234496,0.440796,-0.382874,-0.574768,0.573364,88.8278,0
1.6500,1234506,0.440369,-0.383362,-0.575134,0.573059,88.7415,0
1.6600,1234516,0.440063,-0.383667,-0.575195,0.572937,88.7065,0
1.6700,1234526,0.439941,-0.383789,-0.575134,0.573059,88.7087,0
1.6800,1234536,0.439880,-0.383850,-0.575012,0.573181,88.7214,0
1.6900,1234546,0.439758,-0.383972,-0.574951,0.573242,88.7199,0
1.7000,1234556,0.439575,-0.384216,-0.575012,0.573181,88.6868,0
1.7100,1234566,0.439270,-0.384521,-0.575256,0.572937,88.6316,0
1.7200,1234576,0.438965,-0.384827,-0.575500,0.572693,88.5707,0
1.7300,1234586,0.438660,-0.385132,-0.575684,0.572510,88.5194,0
1.7400,1234596,0.438354,-0.385437,-0.575867,0.572449,88.4806,0
1.7500,1234606,0.438049,-0.385620,-0.575928,0.572449,88.4526,0
1.7600,1234616,0.437744,-0.385864,-0.576050,0.572449,88.4099,0
1.7700,1234626,0.437256,-0.386169,-0.576172,0.572388,88.3544,0
1.7800,1234636,0.436768,-0.386536,-0.576416,0.572327,88.2855,0
1.7900,1234646,0.436157,-0.386963,-0.576660,0.572205,88.2187,0
1.8000,1234656,0.435547,-0.387451,-0.576965,0.572144,88.1724,0
1.8100,1234666,0.434998,-0.387756,-0.577148,0.572144,88.1483,0
1.8200,1234676,0.434021,-0.388123,-0.577271,0.572449,88.1338,0
1.8300,1234686,0.433533,-0.388306,-0.577393,0.572571,88.1080,0
1.8400,1234696,0.433105,-0.388550,-0.577576,0.572571,88.0703,0
1.8500,1234706,0.432617,-0.388916,-0.577820,0.572449,88.0196,0
1.8600,1234716,0.432190,-0.389282,-0.578186,0.572205,87.9511,0
1.8700,1234726,0.431763,-0.389709,-0.578491,0.571838,87.8771,0
1.8800,1234736,0.431396,-0.390137,-0.578857,0.571472,87.8109,0
1.8900,1234746,0.431091,-0.390442,-0.579102,0.571289,87.7675,0
1.9000,1234756,0.430908,-0.390625,-0.579224,0.571167,87.7531,0
1.9100,1234766,0.430847,-0.390808,-0.579224,0.571106,87.7529,0
1.9200,1234776,0.430786,-0.391052,-0.579224,0.570984,87.7469,0
1.9300,1234786,0.430664,-0.391357,-0.579285,0.570801,87.7232,0
1.9400,1234796,0.430542,-0.391785,-0.579285,0.570557,87.6959,0
1.9500,1234806,0.430420,-0.392090,-0.579285,0.570496,87.6824,0
1.9600,1234816,0.430420,-0.392212,-0.579163,0.570496,87.6897,0
1.9700,1234826,0.430420,-0.392273,-0.579041,0.570618,87.7126,0
1.9800,1234836,0.430481,-0.392212,-0.578918,0.570740,87.7397,0
1.9900,1234846,0.430481,-0.392212,-0.578918,0.570679,87.7488,0
2.0000,1234856,0.430420,-0.392395,-0.579041,0.570496,87.7255,0
2.0100,1234866,0.430176,-0.392639,-0.579285,0.570251,87.6783,0
2.0200,1234876,0.429993,-0.393005,-0.579529,0.569946,87.6251,0
2.0300,1234886,0.429810,-0.393311,-0.579651,0.569763,87.5947,0
2.0400,1234896,0.429687,-0.393433,-0.579651,0.569763,87.6139,0
2.0500,1234906,0.429687,-0.393494,-0.579529,0.569763,87.6410,0
2.0600,1234916,0.429810,-0.393494,-0.579407,0.569824,87.6650,0
2.0700,1234926,0.429932,-0.393494,-0.579285,0.569824,87.6843,0
2.0800,1234936,0.430054,-0.393555,-0.579163,0.569824,87.6990,0
2.0900,1234946,0.430176,-0.393677,-0.579041,0.569763,87.7035,0
2.1000,1234956,0.430298,-0.393860,-0.578918,0.569702,87.6976,0
2.1100,1234966,0.430237,-0.394348,-0.578857,0.569519,87.6795,0
2.1200,1234976,0.430054,-0.394592,-0.578796,0.569519,87.6616,0
2.1300,1234986,0.429871,-0.394775,-0.578796,0.569519,87.6427,0
2.1400,1234996,0.429626,-0.394897,-0.578857,0.569580,87.6284,0
2.1500,1235006,0.429443,-0.394897,-0.578918,0.569641,87.6177,0
2.1600,1235016,0.429199,-0.394836,-0.578979,0.569763,87.6134,0
2.1700,1235026,0.428955,-0.394775,-0.579102,0.569946,87.6176,0
2.1800,1235036,0.428772,-0.394592,-0.579102,0.570190,87.6316,0
2.1900,1235046,0.428650,-0.394470,-0.579041,0.570374,87.6467,0
2.2000,1235056,0.428406,-0.394470,-0.579102,0.570496,87.6510,0
2.2100,1235066,0.428162,-0.394592,-0.579163,0.570618,87.6341,0
2.2200,1235076,0.427856,-0.394775,-0.579224,0.570618,87.6056,0
2.2300,1235086,0.427490,-0.395081,-0.579285,0.570557,87.5664,0
2.2400,1235096,0.427185,-0.395386,-0.579346,0.570557,87.5322,0
2.2500,1235106,0.426941,-0.395630,-0.579285,0.570679,87.5144,0
2.2600,1235116,0.426758,-0.395691,-0.579163,0.570862,87.5152,0
2.2700,1235126,0.426636,-0.395630,-0.578979,0.571106,87.5343,0
2.2800,1235136,0.426575,-0.395569,-0.578857,0.571411,87.5499,0
2.2900,1235146,0.426453,-0.395630,-0.578735,0.571594,87.5499,0
